rep	gen		W	VN
0	1	0.687854	2.02784	
0	2	0.631923	2.53867	
0	3	0.594946	2.99462	
0	4	0.579013	3.48857	
0	5	0.564034	4.03375	
0	6	0.550287	4.56289	
0	7	0.541073	5.24684	
0	8	0.527651	5.70681	
0	9	0.515929	6.15021	
0	10	0.50678	6.81374	
0	11	0.504637	7.12494	
0	12	0.504725	7.3665	
0	13	0.497928	7.63778	
0	14	0.490836	7.87822	
0	15	0.492959	8.33149	
0	16	0.490158	9.01622	
0	17	0.482731	9.64452	
0	18	0.483713	10.3106	
0	19	0.483699	10.8712	
0	20	0.479555	11.4382	
0	21	0.478147	12.1338	
0	22	0.477069	13.0129	
0	23	0.475577	13.6831	
0	24	0.47319	14.5594	
0	25	0.465191	14.8254	
0	26	0.467777	15.759	
0	27	0.465681	16.0215	
0	28	0.469657	16.2269	
0	29	0.462163	16.6764	
0	30	0.465133	17.5871	
0	31	0.464973	18.1077	
0	32	0.455673	18.4973	
0	33	0.454037	18.7542	
0	34	0.457253	19.7353	
0	35	0.465298	20.2314	
0	36	0.46087	20.9112	
0	37	0.462256	22.4917	
0	38	0.451708	22.5911	
0	39	0.451347	23.3463	
0	40	0.449005	23.6473	
0	41	0.451937	23.8765	
0	42	0.446619	24.6868	
0	43	0.44863	24.9168	
0	44	0.44524	24.2919	
0	45	0.442691	24.9415	
0	46	0.443513	25.1543	
0	47	0.441558	26.0189	
0	48	0.442234	26.6843	
0	49	0.439709	26.5228	
0	50	0.44258	26.9986	
0	51	0.446565	27.4233	
0	52	0.448059	27.7891	
0	53	0.442975	27.8148	
0	54	0.443391	27.9406	
0	55	0.4451	27.9	
0	56	0.448011	27.9731	
0	57	0.444851	28.5515	
0	58	0.442306	28.8925	
0	59	0.442455	29.5167	
0	60	0.439851	29.5436	
0	61	0.435027	29.5468	
0	62	0.43453	29.0777	
0	63	0.431617	29.9756	
0	64	0.428343	31.2483	
0	65	0.426943	32.3695	
0	66	0.42871	32.9689	
0	67	0.426381	32.7656	
0	68	0.431356	33.7736	
0	69	0.433418	34.2804	
0	70	0.43637	34.3798	
0	71	0.436047	35.1586	
0	72	0.44313	35.0003	
0	73	0.448815	36.0965	
0	74	0.440946	36.5715	
0	75	0.438437	36.843	
0	76	0.428717	36.5658	
0	77	0.432	37.3943	
0	78	0.429897	37.3752	
0	79	0.43114	38.2278	
0	80	0.434451	37.4369	
0	81	0.429821	37.4694	
0	82	0.426117	37.3573	
0	83	0.427015	37.363	
0	84	0.427461	37.6417	
0	85	0.428977	38.5235	
0	86	0.432165	38.9517	
0	87	0.430492	40.2867	
0	88	0.425289	40.4526	
0	89	0.421339	41.5717	
0	90	0.423438	44.1171	
0	91	0.424856	44.999	
0	92	0.43009	45.6061	
0	93	0.427272	45.8579	
0	94	0.421394	46.6378	
0	95	0.421718	46.7119	
0	96	0.422342	48.5815	
0	97	0.426171	49.6743	
0	98	0.428019	50.42	
0	99	0.428525	50.2984	
0	100	0.4258	51.4564	
0	101	0.423297	51.3559	
0	102	0.418351	52.6366	
0	103	0.418793	53.6765	
0	104	0.424093	53.7462	
0	105	0.424109	53.9959	
0	106	0.428017	54.8498	
0	107	0.43215	54.7785	
0	108	0.427175	56.2791	
0	109	0.416464	57.0538	
0	110	0.414569	58.8035	
0	111	0.420372	58.7611	
0	112	0.419323	58.8213	
0	113	0.421691	60.2592	
0	114	0.419281	59.562	
0	115	0.423224	59.5961	
0	116	0.426744	59.856	
0	117	0.419455	62.0366	
0	118	0.420525	63.1809	
0	119	0.423629	64.8427	
0	120	0.424246	63.2803	
0	121	0.421461	63.1169	
